Sr.,Verb,Definition,Examples,Praesens,Praeterium,Perfekt,Tag
1,erwaegen,"etwas sorgfaeltig in seinen Gedanken pruefen, ob man es tun soll ","Sie erwaegt einen Jobwechsel , Alle Moeglichkeiten wurden gruendlich erwogen",erwaegt ,erwog,hat erwogen,b1
2,einfallen,"etw. Kommt jmdm. ploetzlich in den Sinn, ein ploetzlicher Gedanke kommt jmdm. ",,faellt ein,fiel ein, ist eingefallen ,b2
3,ahnen,"1. etw. vermuten (im Voraus wissen/fühlen) 
2. etw. Befuerchten","1. als ob er es geahnt haette/ er ahnte seinen nahen Tod
2. Boesses,schlimmes ahnen / nichts ahnend, rannte er in seine Verderben",ahnt,ahnte,hat geahnt,b2
4,mahnen,"1. jmdn. eindringlich auffordern, etw. zu tun
2. jmdm. etw. faelliges in Errinerung bringen","1. die Mutter mahnte ihn, er sollte zu Bett gehen
2. jmdn. wegen des geborgten Geldes, wegen der Steuern mahnen",mahnt,mahnte,hat gemahnt,b2
5,verfestigen,"fest, fester machen","die Fasern eines Stoffes mechanisch, chemisch verfestigen ",verfestigt,verfestigte,hat verfestigt,b1
6,ausborgen,"sich von jmdm. etw. borgen, ausleihen",die Hausfrau borgt sich bei der Nachbarin ein wenig Gewürz aus ,borgt aus,borgte aus,hat ausgeborgt,b1
7,vorschuetzen,etw. falsches als Ausrede angeben/ etw. als Vorwand benutzen ,"weil er nicht mitgehen wollte, schützte er Arbeit vor, wichtige Geschäfte, Krankheit, mangelnde Erfahrung vorschützen ",shuetzt vor,schuetzte vor,hat vorgeschuetzt,b2
8,einbilden,"etw. glauben dass nicht der Wahrheit entspricht / sich eine unbegründete, falsche Vorstellung von etw. machen ","du bildest dir nur ein, krank zu sein/ eine eingebildete Gefahr",bildet ein,bildete ein,hat eingebildet,b2
9,abschlagen,den Wunsch andere Person nicht erfuellen (einer von verschiedenen Bedeutungen),man kann ihr (so leicht) nichts abschlagen ,schlaegt ab,schlug ab,hat abgeschlagen,b2
10,widmen,"1. jmdm. als Zeichen der Freundschaft, Verehrung, Liebe ein selbstgeschaffenes künstlerisches oder wissenschaftliches Werk mit einer Widmung versehen und damit für ihn bestimmen 
2. etw. einer Sache, jmdm. zielgerichtet, bewusst zukommen lassen ","1. der Zeitungsartikel ist dem Verstorbenen gewidmet 
2. der Zeitungsartikel ist dem Verstorbenen gewidmet ",widmet,widmete,hat gewidmet,b2
